timestamp,open,high,low,close
2026-03-11T11:00:00Z,8.91,8.95,8.91,8.95
2026-03-11T11:30:00Z,8.95,8.96,8.94,8.95
2026-03-11T12:00:00Z,8.93,8.93,8.91,8.91
2026-03-11T12:30:00Z,8.91,8.95,8.9,8.95
2026-03-11T13:00:00Z,8.97,8.98,8.96,8.96
2026-03-11T13:30:00Z,8.96,9.04,8.96,9.04
2026-03-11T14:00:00Z,9.04,9.12,9.03,9.03
2026-03-11T14:30:00Z,9.03,9.08,9.03,9.08
2026-03-11T15:00:00Z,9.07,9.11,9.07,9.09
2026-03-11T15:30:00Z,9.08,9.08,9.0,9.01
2026-03-11T16:00:00Z,9.01,9.01,8.95,8.97
2026-03-11T16:30:00Z,8.99,9.0,8.99,9.0
2026-03-11T17:00:00Z,9.0,9.06,9.0,9.06
2026-03-11T17:30:00Z,9.06,9.1,9.06,9.1
2026-03-11T18:00:00Z,9.13,9.13,9.07,9.08
2026-03-11T18:30:00Z,9.08,9.1,9.08,9.1
2026-03-11T19:00:00Z,9.09,9.1,9.07,9.1
2026-03-11T19:30:00Z,9.1,9.1,9.07,9.08
2026-03-11T20:00:00Z,9.08,9.09,9.08,9.09
2026-03-11T20:30:00Z,9.08,9.08,9.06,9.06
2026-03-11T21:00:00Z,9.05,9.05,9.04,9.05
2026-03-11T21:30:00Z,9.06,9.07,9.05,9.05
2026-03-11T22:00:00Z,9.05,9.07,9.05,9.07
2026-03-11T22:30:00Z,9.07,9.08,9.07,9.07
2026-03-11T23:00:00Z,9.05,9.05,9.03,9.04
2026-03-11T23:30:00Z,9.04,9.06,9.04,9.04
2026-03-12T00:00:00Z,9.04,9.04,9.0,9.0
2026-03-12T00:30:00Z,9.0,9.0,9.0,9.0
2026-03-12T01:00:00Z,9.01,9.01,9.0,9.01
2026-03-12T01:30:00Z,9.0,9.0,8.96,8.96
2026-03-12T02:00:00Z,8.97,8.97,8.95,8.96
2026-03-12T02:30:00Z,8.95,8.95,8.93,8.93
2026-03-12T03:00:00Z,8.93,8.93,8.88,8.88
2026-03-12T03:30:00Z,8.87,8.89,8.87,8.89
2026-03-12T04:00:00Z,8.89,8.9,8.86,8.86
2026-03-12T04:30:00Z,8.87,8.89,8.87,8.89
2026-03-12T05:00:00Z,8.88,8.88,8.87,8.87
2026-03-12T05:30:00Z,8.87,8.88,8.86,8.86
2026-03-12T06:00:00Z,8.85,8.88,8.85,8.88
2026-03-12T06:30:00Z,8.89,8.9,8.89,8.9
2026-03-12T07:00:00Z,8.9,8.91,8.9,8.91
2026-03-12T07:30:00Z,8.91,8.91,8.9,8.91
2026-03-12T08:00:00Z,8.92,8.95,8.92,8.95
2026-03-12T08:30:00Z,8.95,8.98,8.95,8.98
2026-03-12T09:00:00Z,8.98,8.98,8.96,8.97
2026-03-12T09:30:00Z,8.97,8.97,8.94,8.94
2026-03-12T10:00:00Z,8.94,8.99,8.94,8.99
2026-03-12T10:30:00Z,8.99,9.02,8.99,9.02
