timestamp,open,high,low,close
2026-03-11T11:00:00Z,9.55,9.59,9.55,9.58
2026-03-11T11:30:00Z,9.58,9.6,9.58,9.58
2026-03-11T12:00:00Z,9.57,9.57,9.56,9.56
2026-03-11T12:30:00Z,9.56,9.59,9.54,9.59
2026-03-11T13:00:00Z,9.62,9.62,9.58,9.58
2026-03-11T13:30:00Z,9.59,9.7,9.59,9.7
2026-03-11T14:00:00Z,9.71,9.82,9.71,9.71
2026-03-11T14:30:00Z,9.71,9.73,9.69,9.71
2026-03-11T15:00:00Z,9.7,9.74,9.7,9.73
2026-03-11T15:30:00Z,9.71,9.71,9.59,9.61
2026-03-11T16:00:00Z,9.6,9.6,9.56,9.58
2026-03-11T16:30:00Z,9.6,9.6,9.59,9.6
2026-03-11T17:00:00Z,9.6,9.65,9.6,9.65
2026-03-11T17:30:00Z,9.64,9.7,9.64,9.7
2026-03-11T18:00:00Z,9.72,9.72,9.65,9.66
2026-03-11T18:30:00Z,9.66,9.71,9.66,9.71
2026-03-11T19:00:00Z,9.72,9.73,9.71,9.73
2026-03-11T19:30:00Z,9.73,9.73,9.71,9.71
2026-03-11T20:00:00Z,9.71,9.72,9.7,9.71
2026-03-11T20:30:00Z,9.7,9.7,9.67,9.67
2026-03-11T21:00:00Z,9.66,9.66,9.65,9.66
2026-03-11T21:30:00Z,9.66,9.66,9.63,9.63
2026-03-11T22:00:00Z,9.62,9.64,9.62,9.64
2026-03-11T22:30:00Z,9.65,9.65,9.62,9.62
2026-03-11T23:00:00Z,9.61,9.61,9.6,9.6
2026-03-11T23:30:00Z,9.6,9.61,9.59,9.59
2026-03-12T00:00:00Z,9.58,9.58,9.55,9.55
2026-03-12T00:30:00Z,9.55,9.55,9.55,9.55
2026-03-12T01:00:00Z,9.54,9.54,9.53,9.54
2026-03-12T01:30:00Z,9.55,9.55,9.52,9.52
2026-03-12T02:00:00Z,9.52,9.52,9.51,9.51
2026-03-12T02:30:00Z,9.51,9.51,9.49,9.49
2026-03-12T03:00:00Z,9.49,9.5,9.48,9.48
2026-03-12T03:30:00Z,9.46,9.47,9.45,9.47
2026-03-12T04:00:00Z,9.48,9.51,9.48,9.49
2026-03-12T04:30:00Z,9.49,9.52,9.49,9.51
2026-03-12T05:00:00Z,9.5,9.5,9.48,9.48
2026-03-12T05:30:00Z,9.48,9.48,9.46,9.46
2026-03-12T06:00:00Z,9.46,9.47,9.46,9.47
2026-03-12T06:30:00Z,9.47,9.5,9.47,9.5
2026-03-12T07:00:00Z,9.51,9.53,9.51,9.53
2026-03-12T07:30:00Z,9.53,9.53,9.52,9.52
2026-03-12T08:00:00Z,9.53,9.57,9.53,9.57
2026-03-12T08:30:00Z,9.58,9.62,9.58,9.62
2026-03-12T09:00:00Z,9.61,9.61,9.56,9.57
2026-03-12T09:30:00Z,9.57,9.58,9.52,9.52
2026-03-12T10:00:00Z,9.53,9.59,9.53,9.58
2026-03-12T10:30:00Z,9.58,9.6,9.57,9.6
