timestamp,open,high,low,close
2026-03-11T11:00:00Z,85.05,85.38,85.05,85.36
2026-03-11T11:30:00Z,85.36,85.36,85.12,85.14
2026-03-11T12:00:00Z,85.06,85.06,84.57,84.57
2026-03-11T12:30:00Z,84.52,84.82,84.52,84.82
2026-03-11T13:00:00Z,85.01,85.14,85.01,85.11
2026-03-11T13:30:00Z,85.15,86.26,85.15,86.26
2026-03-11T14:00:00Z,86.49,86.95,85.88,85.88
2026-03-11T14:30:00Z,85.88,86.35,85.88,86.35
2026-03-11T15:00:00Z,86.33,86.83,86.33,86.73
2026-03-11T15:30:00Z,86.65,86.65,85.81,85.87
2026-03-11T16:00:00Z,85.84,85.84,85.05,85.25
2026-03-11T16:30:00Z,85.37,85.81,85.37,85.81
2026-03-11T17:00:00Z,85.88,86.44,85.88,86.44
2026-03-11T17:30:00Z,86.43,87.32,86.43,87.32
2026-03-11T18:00:00Z,87.47,87.47,87.23,87.25
2026-03-11T18:30:00Z,87.27,87.83,87.27,87.83
2026-03-11T19:00:00Z,87.72,87.76,87.37,87.76
2026-03-11T19:30:00Z,87.81,87.81,87.3,87.3
2026-03-11T20:00:00Z,87.24,87.45,87.24,87.27
2026-03-11T20:30:00Z,87.19,87.19,87.12,87.17
2026-03-11T21:00:00Z,87.11,87.32,87.11,87.32
2026-03-11T21:30:00Z,87.33,87.44,87.27,87.28
2026-03-11T22:00:00Z,87.26,87.46,87.26,87.46
2026-03-11T22:30:00Z,87.51,87.62,87.51,87.51
2026-03-11T23:00:00Z,87.33,87.33,87.04,87.09
2026-03-11T23:30:00Z,87.05,87.14,86.98,86.98
2026-03-12T00:00:00Z,86.94,86.94,86.63,86.63
2026-03-12T00:30:00Z,86.57,86.65,86.55,86.65
2026-03-12T01:00:00Z,86.61,86.69,86.56,86.69
2026-03-12T01:30:00Z,86.69,86.69,86.3,86.36
2026-03-12T02:00:00Z,86.38,86.38,86.06,86.06
2026-03-12T02:30:00Z,86.02,86.08,85.84,85.84
2026-03-12T03:00:00Z,85.78,85.78,85.37,85.37
2026-03-12T03:30:00Z,85.27,85.31,85.24,85.31
2026-03-12T04:00:00Z,85.28,85.3,84.89,84.89
2026-03-12T04:30:00Z,84.91,85.25,84.91,85.18
2026-03-12T05:00:00Z,85.17,85.17,85.06,85.06
2026-03-12T05:30:00Z,85.08,85.18,85.02,85.02
2026-03-12T06:00:00Z,84.96,85.14,84.96,85.11
2026-03-12T06:30:00Z,85.12,85.13,85.1,85.13
2026-03-12T07:00:00Z,85.18,85.3,85.18,85.3
2026-03-12T07:30:00Z,85.33,85.42,85.17,85.36
2026-03-12T08:00:00Z,85.45,85.79,85.45,85.79
2026-03-12T08:30:00Z,85.8,85.95,85.58,85.95
2026-03-12T09:00:00Z,85.89,85.93,85.84,85.93
2026-03-12T09:30:00Z,85.92,85.92,85.56,85.56
2026-03-12T10:00:00Z,85.6,86.1,85.6,86.1
2026-03-12T10:30:00Z,86.14,86.4,86.12,86.4
