timestamp,open,high,low,close
2026-03-11T11:00:00Z,8.21,8.23,8.21,8.22
2026-03-11T11:30:00Z,8.22,8.24,8.22,8.24
2026-03-11T12:00:00Z,8.24,8.24,8.22,8.22
2026-03-11T12:30:00Z,8.22,8.26,8.22,8.26
2026-03-11T13:00:00Z,8.28,8.3,8.28,8.28
2026-03-11T13:30:00Z,8.28,8.35,8.27,8.35
2026-03-11T14:00:00Z,8.34,8.41,8.32,8.32
2026-03-11T14:30:00Z,8.34,8.38,8.34,8.38
2026-03-11T15:00:00Z,8.37,8.39,8.37,8.39
2026-03-11T15:30:00Z,8.37,8.37,8.3,8.31
2026-03-11T16:00:00Z,8.31,8.31,8.28,8.29
2026-03-11T16:30:00Z,8.3,8.3,8.28,8.28
2026-03-11T17:00:00Z,8.28,8.32,8.28,8.32
2026-03-11T17:30:00Z,8.31,8.33,8.31,8.33
2026-03-11T18:00:00Z,8.35,8.36,8.3,8.31
2026-03-11T18:30:00Z,8.3,8.34,8.3,8.34
2026-03-11T19:00:00Z,8.34,8.35,8.33,8.35
2026-03-11T19:30:00Z,8.36,8.36,8.32,8.32
2026-03-11T20:00:00Z,8.33,8.34,8.33,8.34
2026-03-11T20:30:00Z,8.33,8.33,8.33,8.33
2026-03-11T21:00:00Z,8.33,8.33,8.32,8.32
2026-03-11T21:30:00Z,8.32,8.33,8.31,8.31
2026-03-11T22:00:00Z,8.31,8.34,8.31,8.34
2026-03-11T22:30:00Z,8.35,8.35,8.34,8.34
2026-03-11T23:00:00Z,8.33,8.33,8.32,8.33
2026-03-11T23:30:00Z,8.33,8.34,8.32,8.32
2026-03-12T00:00:00Z,8.32,8.32,8.29,8.29
2026-03-12T00:30:00Z,8.28,8.29,8.28,8.29
2026-03-12T01:00:00Z,8.29,8.32,8.29,8.32
2026-03-12T01:30:00Z,8.32,8.32,8.27,8.27
2026-03-12T02:00:00Z,8.28,8.28,8.26,8.26
2026-03-12T02:30:00Z,8.26,8.27,8.26,8.26
2026-03-12T03:00:00Z,8.25,8.25,8.23,8.23
2026-03-12T03:30:00Z,8.22,8.23,8.22,8.23
2026-03-12T04:00:00Z,8.23,8.24,8.2,8.2
2026-03-12T04:30:00Z,8.2,8.22,8.2,8.22
2026-03-12T05:00:00Z,8.21,8.21,8.2,8.2
2026-03-12T05:30:00Z,8.2,8.2,8.18,8.18
2026-03-12T06:00:00Z,8.17,8.19,8.17,8.18
2026-03-12T06:30:00Z,8.18,8.19,8.18,8.19
2026-03-12T07:00:00Z,8.19,8.2,8.19,8.2
2026-03-12T07:30:00Z,8.2,8.21,8.2,8.21
2026-03-12T08:00:00Z,8.21,8.24,8.21,8.24
2026-03-12T08:30:00Z,8.23,8.24,8.23,8.24
2026-03-12T09:00:00Z,8.24,8.24,8.23,8.24
2026-03-12T09:30:00Z,8.24,8.24,8.2,8.2
2026-03-12T10:00:00Z,8.21,8.23,8.2,8.23
2026-03-12T10:30:00Z,8.23,8.24,8.22,8.24
