timestamp,open,high,low,close
2026-03-11T11:00:00Z,5.65e-06,5.67e-06,5.65e-06,5.66e-06
2026-03-11T11:30:00Z,5.66e-06,5.66e-06,5.65e-06,5.66e-06
2026-03-11T12:00:00Z,5.65e-06,5.67e-06,5.65e-06,5.67e-06
2026-03-11T12:30:00Z,5.68e-06,5.73e-06,5.68e-06,5.73e-06
2026-03-11T13:00:00Z,5.75e-06,5.76e-06,5.73e-06,5.73e-06
2026-03-11T13:30:00Z,5.74e-06,5.79e-06,5.74e-06,5.78e-06
2026-03-11T14:00:00Z,5.78e-06,5.85e-06,5.78e-06,5.78e-06
2026-03-11T14:30:00Z,5.79e-06,5.84e-06,5.79e-06,5.84e-06
2026-03-11T15:00:00Z,5.83e-06,5.83e-06,5.81e-06,5.82e-06
2026-03-11T15:30:00Z,5.82e-06,5.82e-06,5.78e-06,5.8e-06
2026-03-11T16:00:00Z,5.8e-06,5.83e-06,5.79e-06,5.83e-06
2026-03-11T16:30:00Z,5.84e-06,5.85e-06,5.81e-06,5.81e-06
2026-03-11T17:00:00Z,5.8e-06,5.84e-06,5.8e-06,5.84e-06
2026-03-11T17:30:00Z,5.84e-06,5.86e-06,5.84e-06,5.86e-06
2026-03-11T18:00:00Z,5.86e-06,5.86e-06,5.82e-06,5.84e-06
2026-03-11T18:30:00Z,5.84e-06,5.85e-06,5.84e-06,5.84e-06
2026-03-11T19:00:00Z,5.84e-06,5.84e-06,5.83e-06,5.84e-06
2026-03-11T19:30:00Z,5.84e-06,5.84e-06,5.82e-06,5.82e-06
2026-03-11T20:00:00Z,5.82e-06,5.82e-06,5.81e-06,5.81e-06
2026-03-11T20:30:00Z,5.8e-06,5.8e-06,5.79e-06,5.79e-06
2026-03-11T21:00:00Z,5.78e-06,5.78e-06,5.77e-06,5.77e-06
2026-03-11T21:30:00Z,5.77e-06,5.78e-06,5.77e-06,5.77e-06
2026-03-11T22:00:00Z,5.77e-06,5.77e-06,5.76e-06,5.76e-06
2026-03-11T22:30:00Z,5.77e-06,5.77e-06,5.76e-06,5.76e-06
2026-03-11T23:00:00Z,5.74e-06,5.74e-06,5.74e-06,5.74e-06
2026-03-11T23:30:00Z,5.75e-06,5.76e-06,5.75e-06,5.75e-06
2026-03-12T00:00:00Z,5.75e-06,5.75e-06,5.74e-06,5.74e-06
2026-03-12T00:30:00Z,5.73e-06,5.74e-06,5.73e-06,5.73e-06
2026-03-12T01:00:00Z,5.73e-06,5.74e-06,5.73e-06,5.74e-06
2026-03-12T01:30:00Z,5.74e-06,5.75e-06,5.73e-06,5.75e-06
2026-03-12T02:00:00Z,5.75e-06,5.75e-06,5.74e-06,5.74e-06
2026-03-12T02:30:00Z,5.74e-06,5.75e-06,5.74e-06,5.74e-06
2026-03-12T03:00:00Z,5.74e-06,5.74e-06,5.72e-06,5.72e-06
2026-03-12T03:30:00Z,5.73e-06,5.76e-06,5.73e-06,5.76e-06
2026-03-12T04:00:00Z,5.76e-06,5.76e-06,5.73e-06,5.73e-06
2026-03-12T04:30:00Z,5.74e-06,5.76e-06,5.74e-06,5.76e-06
2026-03-12T05:00:00Z,5.75e-06,5.75e-06,5.72e-06,5.72e-06
2026-03-12T05:30:00Z,5.72e-06,5.73e-06,5.7e-06,5.7e-06
2026-03-12T06:00:00Z,5.69e-06,5.7e-06,5.69e-06,5.7e-06
2026-03-12T06:30:00Z,5.7e-06,5.7e-06,5.7e-06,5.7e-06
2026-03-12T07:00:00Z,5.71e-06,5.71e-06,5.71e-06,5.71e-06
2026-03-12T07:30:00Z,5.72e-06,5.76e-06,5.72e-06,5.76e-06
2026-03-12T08:00:00Z,5.77e-06,5.81e-06,5.77e-06,5.8e-06
2026-03-12T08:30:00Z,5.8e-06,5.84e-06,5.8e-06,5.84e-06
2026-03-12T09:00:00Z,5.84e-06,5.84e-06,5.83e-06,5.84e-06
2026-03-12T09:30:00Z,5.85e-06,5.85e-06,5.83e-06,5.83e-06
2026-03-12T10:00:00Z,5.83e-06,5.84e-06,5.82e-06,5.84e-06
2026-03-12T10:30:00Z,5.84e-06,5.86e-06,5.84e-06,5.86e-06
