timestamp,open,high,low,close
2026-03-11T11:00:00Z,1.5,1.5,1.5,1.5
2026-03-11T11:30:00Z,1.5,1.51,1.5,1.51
2026-03-11T12:00:00Z,1.51,1.51,1.51,1.51
2026-03-11T12:30:00Z,1.51,1.53,1.51,1.53
2026-03-11T13:00:00Z,1.53,1.54,1.53,1.53
2026-03-11T13:30:00Z,1.53,1.54,1.53,1.54
2026-03-11T14:00:00Z,1.54,1.55,1.53,1.53
2026-03-11T14:30:00Z,1.53,1.54,1.53,1.54
2026-03-11T15:00:00Z,1.54,1.54,1.54,1.54
2026-03-11T15:30:00Z,1.54,1.54,1.52,1.52
2026-03-11T16:00:00Z,1.52,1.52,1.51,1.52
2026-03-11T16:30:00Z,1.52,1.52,1.52,1.52
2026-03-11T17:00:00Z,1.52,1.53,1.52,1.53
2026-03-11T17:30:00Z,1.52,1.53,1.52,1.53
2026-03-11T18:00:00Z,1.53,1.53,1.52,1.52
2026-03-11T18:30:00Z,1.53,1.53,1.53,1.53
2026-03-11T19:00:00Z,1.53,1.54,1.53,1.54
2026-03-11T19:30:00Z,1.54,1.54,1.54,1.54
2026-03-11T20:00:00Z,1.54,1.55,1.54,1.54
2026-03-11T20:30:00Z,1.54,1.54,1.54,1.54
2026-03-11T21:00:00Z,1.53,1.53,1.53,1.53
2026-03-11T21:30:00Z,1.53,1.53,1.53,1.53
2026-03-11T22:00:00Z,1.53,1.53,1.53,1.53
2026-03-11T22:30:00Z,1.53,1.54,1.53,1.54
2026-03-11T23:00:00Z,1.53,1.53,1.53,1.53
2026-03-11T23:30:00Z,1.54,1.54,1.53,1.53
2026-03-12T00:00:00Z,1.53,1.53,1.52,1.52
2026-03-12T00:30:00Z,1.52,1.52,1.52,1.52
2026-03-12T01:00:00Z,1.52,1.52,1.52,1.52
2026-03-12T01:30:00Z,1.52,1.52,1.51,1.52
2026-03-12T02:00:00Z,1.51,1.51,1.51,1.51
2026-03-12T02:30:00Z,1.51,1.51,1.51,1.51
2026-03-12T03:00:00Z,1.51,1.51,1.5,1.5
2026-03-12T03:30:00Z,1.5,1.5,1.5,1.5
2026-03-12T04:00:00Z,1.5,1.51,1.5,1.5
2026-03-12T04:30:00Z,1.5,1.5,1.5,1.5
2026-03-12T05:00:00Z,1.5,1.5,1.5,1.5
2026-03-12T05:30:00Z,1.5,1.5,1.5,1.5
2026-03-12T06:00:00Z,1.49,1.5,1.49,1.5
2026-03-12T06:30:00Z,1.5,1.5,1.5,1.5
2026-03-12T07:00:00Z,1.5,1.5,1.5,1.5
2026-03-12T07:30:00Z,1.5,1.5,1.5,1.5
2026-03-12T08:00:00Z,1.5,1.51,1.5,1.51
2026-03-12T08:30:00Z,1.51,1.51,1.51,1.51
2026-03-12T09:00:00Z,1.51,1.51,1.51,1.51
2026-03-12T09:30:00Z,1.51,1.51,1.51,1.51
2026-03-12T10:00:00Z,1.51,1.52,1.51,1.52
2026-03-12T10:30:00Z,1.52,1.52,1.51,1.52
